Ma ck,gia,eps,pe,gt so sach,klgd10,kl niem yet,kl luu hanh,von hoa
DRH,7.9,1.02,7.81,13.77,2048017.0,60999933.0,60342933.0,482.14
DRI,7.5,0.19,39.85,10.23,766310.0,73200000.0,73200000.0,549.0
DRL,54.5,5.55,10.01,13.7,4284.0,9500000.0,9500000.0,527.25
DS3,3.9,0.65,6.14,10.68,35203.0,10669730.0,10669730.0,42.68
DSN,46.9,2.38,19.8,15.63,11361.0,12083009.0,12083009.0,570.32
DSS,7.5,1.41,5.33,11.82,,2045000.0,2045000.0,15.34
DST,2.6,0.24,10.62,9.84,521914.0,32300000.0,32219000.0,83.77
DSV,10.0,1.77,5.64,11.99,,1229579.0,1229579.0,12.3
DT4,8.0,1.34,5.99,11.38,50.0,1160000.0,1160000.0,9.28
DTB,9.3,1.03,8.24,11.59,172.0,1558248.0,1558248.0,13.25
DTC,12.3,1.72,7.15,10.2,2335.0,10000000.0,10000000.0,123.0
DTD,28.5,4.14,6.81,16.93,161159.0,27039053.0,27495553.0,775.37
DTG,8.9,1.03,8.63,19.42,2.0,6315928.0,6315928.0,56.21
DTI,9.8,0.1,102.92,10.1,1.0,11521754.0,11521754.0,112.91
DTK,12.2,0.75,18.77,10.65,2230.0,680000000.0,680000000.0,9520.0
DTN,62.9,0.41,154.38,12.46,10.0,2200000.0,2200000.0,138.38
DTP,45.0,7.7,5.46,27.42,2530.0,12171782.0,12171782.0,511.21
DTT,13.3,1.06,11.67,15.08,7.0,8151820.0,8151820.0,101.08
DTV,40.0,3.88,9.24,18.65,400.0,5280000.0,5264000.0,188.98
DUS,10.0,2.77,3.61,14.17,400.0,5614300.0,5614300.0,56.14
DVC,8.5,0.9,10.15,12.42,55600.0,10793670.0,10793670.0,98.22
DVD,3.6,inf,,25.55,33108.0,11910000.0,18460500.0,64.61
DVH,11.0,2.99,3.67,9.31,10.0,11000000.0,11000000.0,121.0
DVN,17.3,0.72,24.66,11.35,1072696.0,237000000.0,237000000.0,4218.6
DVP,45.4,6.05,7.6,30.92,94160.0,40000000.0,40000000.0,1840.0
DVW,19.6,2.87,6.83,17.89,,2345000.0,2345000.0,45.96
DWS,10.3,1.04,9.89,11.51,10.0,25918130.0,25918130.0,266.96
DX2,10.2,0.52,19.48,10.52,,4950000.0,4950000.0,50.49
DXD,14.1,0.0,2825.46,10.45,,1019700.0,1019700.0,14.38
DXL,3.5,0.12,28.71,10.57,,3957900.0,3957900.0,13.85
DXP,16.4,2.02,8.26,17.09,417670.0,25987027.0,25987287.0,433.99
DXV,3.46,0.32,10.83,11.2,2729.0,9900000.0,9900000.0,34.35
DZM,3.3,0.03,102.25,9.07,25882.0,5395985.0,5395985.0,17.27
E12,10.0,0.44,22.97,12.4,,1200000.0,1200000.0,12.0
E29,6.0,0.85,7.08,10.05,40.0,5000000.0,5000000.0,30.0
EAD,21.4,2.21,9.7,12.47,,2877800.0,2877800.0,61.58
EBA,9.1,0.83,11.02,11.69,,15500000.0,15500000.0,141.05
EBS,8.2,0.55,15.0,12.34,1512.0,10219484.0,9965584.0,81.72
ECI,14.0,2.38,5.89,18.58,,1860000.0,1760000.0,24.64
EFI,2.0,0.02,90.9,8.24,50.0,13425700.0,10880000.0,21.76
EIC,7.3,0.81,10.08,10.83,450.0,36677145.0,36677145.0,300.75
EID,14.0,3.0,4.94,20.26,19386.0,15000000.0,15000000.0,222.0
EIN,5.0,0.28,16.92,10.34,5346.0,45407161.0,45407161.0,213.41
ELC,7.4,0.87,8.88,16.4,435183.0,51528243.0,50618648.0,389.76
EMC,20.0,0.13,149.58,10.49,1.0,15297333.0,15297333.0,305.95
EME,45.0,0.01,4700.62,17.46,,3780298.0,3780298.0,170.11
EMG,18.5,3.17,5.84,24.88,,3000000.0,3000000.0,55.5
EMS,30.3,5.81,5.18,14.98,613.0,9159125.0,15000815.0,451.52
EPH,7.5,1.66,4.52,13.01,1500.0,2500000.0,2500000.0,18.75
EVE,13.4,1.23,10.89,23.98,82224.0,41979773.0,38047973.0,509.84
EVG,5.86,0.35,17.02,11.5,891586.0,60000000.0,60000000.0,354.0
EVS,6.2,0.04,150.3,12.2,2820.0,60000400.0,60000400.0,402.0
FBA,0.9,0.56,1.62,10.8,,3414900.0,3414900.0,3.07
FBC,4.6,8.44,0.55,23.16,,3700000.0,3700000.0,17.02
FCM,5.97,0.77,7.8,12.54,12871.0,41000000.0,41000000.0,246.0
FCN,11.95,1.2,10.46,18.77,1363011.0,119538893.0,123930789.0,1549.13
FDT,38.8,2.34,16.57,13.14,1.0,3054500.0,3054500.0,118.51
FHN,14.0,0.58,24.2,16.2,340.0,3000000.0,3000000.0,42.0
FHS,27.0,2.74,9.86,17.32,20.0,9108277.0,9108277.0,245.92
FIC,12.8,0.04,299.18,11.39,,127000000.0,127000000.0,1625.6
FIR,25.3,1.78,14.31,17.07,78762.0,27039864.0,27039864.0,689.52
FIT,11.2,0.36,31.85,11.92,2555657.0,254730247.0,254730247.0,2929.4
FMC,36.55,4.56,8.01,20.75,535892.0,49044000.0,49044000.0,1792.56
FOC,105.1,11.5,9.21,41.27,891.0,18471275.0,18465025.0,1955.45
FOX,58.3,4.05,14.48,19.17,18804.0,273646461.0,273616446.0,16061.29
FPC,1.5,inf,,-8.68,1892.0,13106292.0,32999991.0,52.8
FPT,56.7,4.22,13.52,19.22,1973196.0,783987486.0,783905110.0,44760.98
FRC,16.5,5.34,3.09,24.79,,3000000.0,3000000.0,49.5
FRM,17.0,0.42,40.13,11.76,0.0,11700000.0,11700000.0,198.9
FSC,11.2,0.48,23.3,35.58,,30000000.0,30000000.0,336.0
FT1,29.7,6.46,4.59,19.09,190.0,7079853.0,7079853.0,210.27
FTI,3.5,0.79,4.44,7.07,,3943710.0,3943710.0,13.8
FTS,13.85,0.44,31.95,15.89,741108.0,132267349.0,132266953.0,1838.51
G36,11.1,0.89,12.74,14.17,2079019.0,93600000.0,96563749.0,1062.2
GAB,193.2,0.41,471.45,11.7,3243.0,13800000.0,13800000.0,2668.92
GAS,85.4,4.77,17.97,24.42,1087730.0,1895000000.0,1913950000.0,164216.91
GCB,9.5,1.03,9.24,15.97,20.0,4039147.0,4039147.0,38.37
GDT,38.4,4.35,9.1,16.42,17628.0,17136968.0,16877158.0,668.34
GDW,20.2,0.9,22.55,15.92,20.0,9500000.0,9500000.0,191.9
GEG,17.55,0.9,19.45,11.6,1030970.0,271175188.0,271175188.0,4772.68
GER,5.0,0.45,11.08,11.49,,2200000.0,2200000.0,11.0
GEX,20.9,1.39,15.22,13.71,7371038.0,488244000.0,469969050.0,9963.34
GGS,3.1,0.38,8.17,12.28,,10200000.0,10200000.0,31.62
GHA,6.2,inf,,20.33,5010.0,2616960.0,2578960.0,16.76
GHC,32.9,4.49,8.01,20.64,11756.0,20500000.0,31775000.0,1042.22
GIC,18.7,3.52,5.4,18.14,13760.0,12120000.0,12120000.0,230.28
GIL,46.2,7.23,6.43,31.73,385211.0,36000000.0,35983800.0,1671.45
GKM,16.4,0.38,43.96,11.75,173031.0,14883709.0,14883709.0,247.07
GLT,19.9,2.03,9.59,10.47,19037.0,9236446.0,8131296.0,158.56
GLW,4.1,0.46,8.97,10.57,,18000000.0,18000000.0,73.8
GMA,36.3,0.68,58.24,12.03,2230.0,6000000.0,6000000.0,237.0
GMC,18.1,1.64,11.13,23.72,37670.0,30005280.0,29956020.0,548.2
GMD,33.2,1.27,25.85,19.59,6456920.0,296924957.0,296924957.0,9783.68
GMX,25.1,5.09,4.93,18.04,50.0,5320694.0,5314448.0,133.39
GND,26.0,4.89,5.32,32.85,1710.0,9000000.0,8263200.0,214.84
GSM,8.5,0.54,15.74,12.45,960.0,28562000.0,28562000.0,242.78
GSP,11.15,1.63,6.61,12.33,13941.0,36000000.0,36000000.0,387.0
GTA,12.4,1.69,7.17,16.58,2942.0,10400000.0,9830000.0,118.94
GTC,2.1,9.93,0.21,-69.71,,1032243.0,1032243.0,2.17
GTH,5.3,0.32,16.57,12.18,,2735500.0,2735500.0,14.5
GTN,28.0,0.02,1775.48,10.3,3072296.0,250000000.0,249000000.0,6959.55
GTS,9.8,1.63,6.01,11.16,0.0,28499764.0,28499764.0,279.3
GVR,23.25,0.77,30.32,11.24,4424762.0,4000000000.0,4000000000.0,93200.0
GVT,51.7,9.8,5.28,22.64,1429.0,11605100.0,11605100.0,599.98
H11,9.9,0.12,80.34,11.85,,1060000.0,1060000.0,10.49
HAB,27.8,0.35,80.18,10.81,,2000000.0,2000000.0,55.6
HAC,5.2,0.48,10.79,10.53,8289.0,29181096.0,29176390.0,151.72
HAD,17.6,3.29,5.41,20.05,10324.0,4000000.0,4000000.0,71.2
HAF,14.9,0.18,83.23,8.65,700.0,14500000.0,14500000.0,216.05
HAH,17.1,2.5,7.3,21.5,1273167.0,48782751.0,47392798.0,864.92
HAM,21.1,2.83,7.45,18.12,,6225399.0,6847899.0,144.49
HAN,14.6,0.25,58.49,11.25,75502.0,141048000.0,141048000.0,2059.3
HAP,5.82,0.24,24.42,12.23,493080.0,55626621.0,55471151.0,325.62
HAR,4.65,0.08,55.06,10.95,1237917.0,101350100.0,95684090.0,443.02
HAS,8.55,0.49,17.3,17.9,975.0,8000000.0,7800000.0,66.3
HAT,24.4,4.78,5.06,25.03,5764.0,3123000.0,3123000.0,75.58
HAX,18.1,1.91,9.5,12.81,455059.0,36744399.0,36610129.0,664.47
HBC,14.25,1.18,12.12,15.49,9720932.0,205875398.0,230875398.0,3313.06
HBD,14.3,1.9,7.63,15.99,90.0,2011100.0,1904400.0,27.61
HBE,8.0,0.5,16.12,11.82,250.0,2231058.0,2231058.0,17.85
HBH,5.1,0.76,6.72,8.44,310.0,16000000.0,16000000.0,81.6
HBI,26.0,0.2,131.67,10.22,,51000000.0,51000000.0,1326.0
HBS,3.4,0.1,37.45,11.69,125066.0,32999980.0,32999980.0,122.1
HBW,7.1,0.47,15.15,10.93,,6679289.0,6679289.0,47.42
HC1,23.8,1.51,15.8,24.55,,8000000.0,8000000.0,190.4
HC3,26.1,4.65,5.62,32.8,8600.0,18805267.0,18805267.0,490.82
HCB,14.7,5.23,2.81,26.98,110.0,5199274.0,5199274.0,76.43
HCC,10.2,1.95,5.22,12.87,31294.0,6518586.0,6518547.0,66.49
HCM,28.55,2.1,13.38,14.61,5944558.0,305882263.0,305041862.0,8586.93
HCS,12.7,2.85,4.46,14.0,,2250000.0,2250000.0,28.58
HCT,10.5,0.78,14.81,20.57,2045.0,2016385.0,2016385.0,23.19
HD2,5.9,0.51,11.35,13.71,83777.0,8962353.0,8962353.0,51.98
HD3,10.0,0.0,4015.06,10.0,,2000000.0,2000000.0,20.0
HD8,7.0,1.48,4.72,13.37,110.0,10000000.0,10000000.0,70.0
HDA,8.4,0.61,13.73,15.38,55183.0,11500000.0,11500000.0,96.6
HDC,31.8,2.87,11.43,15.2,857849.0,66515837.0,65875008.0,2160.7
HDG,34.45,6.22,5.53,19.29,2012735.0,154275018.0,154286919.0,5307.47
HDM,14.0,1.82,7.74,20.21,1610.0,10000000.0,10000000.0,141.0
HDP,9.5,1.13,9.08,12.86,5047.0,9011418.0,9011418.0,83.81
HDW,11.6,1.55,7.47,12.83,,31882470.0,31882470.0,369.84
HEC,52.5,11.32,5.04,33.18,440.0,4200000.0,4200000.0,239.4
HEJ,22.9,1.7,13.43,16.31,710.0,4400000.0,4400000.0,100.76
HEM,12.9,0.78,16.2,16.2,1014.0,38704650.0,38549019.0,489.57
HEP,9.1,1.19,7.67,101.51,50.0,6000000.0,6000000.0,54.6
HES,10.6,0.78,13.63,12.42,,9297450.0,9297450.0,98.55
HEV,13.8,1.8,7.66,16.15,291.0,1000000.0,1000000.0,13.8
HFB,7.0,1.17,5.97,11.0,,9100000.0,9100000.0,63.7
HFC,6.7,0.83,6.89,10.41,20.0,6455335.0,6455335.0,36.8
HFS,23.3,0.01,1818.05,11.71,,10000000.0,10000000.0,233.0
HGM,38.0,0.24,155.44,12.08,,12600000.0,11920720.0,452.99
HGW,9.6,0.69,13.96,21.57,10.0,24878291.0,17478835.0,167.8
HHA,71.1,5.93,11.99,26.27,20.0,5896100.0,5896100.0,419.21
HHC,94.4,2.5,35.08,26.55,520.0,16425000.0,16425000.0,1442.12
HHN,6.6,0.05,144.36,13.17,,1440000.0,1440000.0,9.5
HHP,12.6,1.05,12.08,11.07,284124.0,18000000.0,18000000.0,228.6
HHR,1.6,2.39,0.67,10.91,,1380000.0,1380000.0,2.21
HHS,4.9,1.29,3.82,13.19,3343139.0,274744063.0,274744063.0,1359.98
HHV,16.1,0.05,346.23,22.99,30.0,267384090.0,267384090.0,4545.53
HID,2.57,0.15,17.75,10.33,140606.0,58765032.0,58759391.0,157.48
HIG,10.4,1.57,6.67,18.02,21568.0,22559030.0,20418998.0,214.4
HII,15.0,1.4,12.47,16.65,239988.0,32027500.0,32027500.0,486.82
HIZ,28.0,3.02,9.27,23.47,90.0,7500000.0,7500000.0,210.0
HJC,5.5,0.83,6.63,11.06,,12853052.0,12853052.0,70.69
HJS,34.5,2.49,13.88,14.06,100580.0,20999900.0,20999900.0,724.5
HKC,36.0,1.29,27.88,15.56,80.0,2400000.0,2400000.0,86.4
HKP,4.3,0.23,19.08,11.93,1640.0,4000000.0,4000000.0,17.2
HKT,7.0,0.39,19.65,11.41,10.0,6135029.0,6135029.0,46.63
HLB,109.8,19.71,4.74,46.56,1120.0,3000000.0,3000000.0,280.5
HLC,7.3,1.89,3.7,11.66,1140.0,25415199.0,25415199.0,177.91
HLD,28.7,2.48,11.57,24.39,201371.0,20000000.0,20000000.0,574.0
HLE,3.8,1.31,2.89,11.31,,2200000.0,2200000.0,8.36
HLG,6.2,1.73,3.57,19.55,,44375385.0,44225385.0,274.2
HLR,6.0,1.54,3.89,12.21,,1650000.0,1650000.0,9.9
HLS,17.0,2.97,7.4,14.89,,8159921.0,8159963.0,138.72
HMC,14.9,0.75,19.86,17.89,27942.0,21000000.0,21000000.0,312.9
HMH,10.0,0.93,11.56,18.7,21571.0,13199847.0,12847647.0,138.75
HMS,22.0,5.57,4.04,46.45,139.0,8000000.0,8000000.0,180.0
HNB,14.3,1.31,10.9,11.11,,9500000.0,9500000.0,135.85
HND,18.5,3.03,6.2,13.05,119615.0,500000000.0,500000000.0,9400.0
HNE,8.4,0.69,12.21,11.54,1900.0,192600000.0,192600000.0,1617.84
HNF,21.4,0.9,23.69,15.41,1060.0,30000000.0,30000000.0,642.0
HNI,34.6,10.31,3.39,31.67,2240.0,11890000.0,9407900.0,328.34
HNP,18.9,2.77,6.81,25.81,404.0,5000000.0,5000000.0,94.5
HNT,2.3,0.51,4.53,10.84,,5500000.0,5500000.0,12.65
HOM,3.3,0.13,24.47,13.69,29747.0,74769131.0,71997731.0,230.39
HPB,16.8,2.52,6.14,28.68,50.0,3880000.0,3657200.0,56.69
HPD,17.8,1.7,10.46,12.48,4340.0,8306590.0,8306590.0,147.86
HPG,38.6,3.23,12.03,16.54,19870857.0,3313282659.0,3313282659.0,128555.37
HPH,3.5,0.36,9.84,11.94,420.0,8400000.0,8400000.0,29.4
HPI,23.9,3.5,6.79,2.11,3464.0,60000000.0,60000000.0,1428.0
HPP,35.5,10.27,3.79,43.24,2630.0,8007177.0,8007177.0,311.48
HPR,12.0,inf,,6.3,380.0,4800000.0,16838000.0,181.85
HPS,7.0,0.08,90.17,2.32,,1565250.0,3130500.0,21.91
HPT,9.8,2.25,5.03,14.3,4179.0,8272605.0,8117150.0,79.55
HPU,5.3,4.86,1.09,18.18,,2000000.0,2000000.0,10.6
HPW,14.7,1.18,12.41,13.19,1300.0,74206940.0,74206940.0,1090.84
HPX,27.7,1.6,16.97,11.78,513440.0,229995506.0,291990902.0,7942.15
HQC,1.71,0.04,43.42,9.1,7155908.0,476600000.0,476599274.0,810.22
HRB,27.0,3.06,8.82,20.21,,6338400.0,6338400.0,171.14
HRC,40.05,0.29,127.79,17.61,296.0,30206622.0,30206622.0,1126.71
HRG,6.6,0.32,20.81,11.03,,2650000.0,2650000.0,17.49
HSC,179.4,inf,,14.15,,580000.0,580000.0,104.05
HSG,20.9,2.58,8.13,14.81,13258144.0,444625213.0,444369913.0,9309.55
HSL,7.0,1.49,4.77,15.01,292426.0,17167144.0,17167452.0,111.76
HSM,9.8,0.71,13.85,22.77,80.0,20500000.0,20500000.0,200.9
HSP,11.7,0.69,16.93,14.88,,12027086.0,12027086.0,140.72
HST,6.4,0.68,9.41,11.52,,1500000.0,1488440.0,9.53
HT1,16.7,1.77,9.38,14.93,1408638.0,381589911.0,381541911.0,6352.67
HT2,14.3,inf,,11.8,102312.0,88000000.0,88000000.0,1161.55
HTB,21.3,inf,,10.11,,1800000.0,1800000.0,38.34
HTC,28.0,3.59,7.8,24.97,370.0,11000000.0,11000000.0,308.0
HTE,6.9,0.38,18.22,9.21,18759.0,23608165.0,23837245.0,166.86
HTG,18.8,3.44,5.4,19.17,5146.0,22500000.0,22500000.0,418.5
HTI,14.65,2.49,5.81,18.54,113809.0,24949200.0,24949200.0,360.52
HTK,10.0,1.27,7.9,46.36,,1458710.0,1458710.0,14.59
HTL,16.3,1.08,14.77,16.7,3366.0,12000000.0,12000000.0,192.0
HTM,10.9,0.43,25.1,10.28,13813.0,220000000.0,219958600.0,2375.55
HTN,43.6,12.21,3.62,30.72,143415.0,33062221.0,33062221.0,1459.7
HTP,9.0,0.18,50.17,12.03,153.0,1804980.0,1645580.0,14.81
HTR,9.3,1.55,6.02,12.32,,1500700.0,1500700.0,13.96
HTU,8.9,0.26,34.8,11.08,,16438382.0,16438382.0,146.3
HTV,12.7,1.97,6.44,25.31,5963.0,13104000.0,13104000.0,166.42
HTW,10.0,0.39,25.91,19.28,,20400893.0,20400893.0,204.01
HU1,7.85,0.9,8.65,13.53,4604.0,10000000.0,10000000.0,77.9
HU3,7.12,0.38,17.75,15.01,369.0,9999944.0,9999944.0,67.1
HU4,8.0,1.17,6.86,13.34,2220.0,15000000.0,15000000.0,120.0
HU6,6.0,0.84,7.17,11.77,690.0,7500000.0,7500000.0,45.0
HUB,20.05,4.22,4.75,26.37,24441.0,15246000.0,19057316.0,382.1
HUG,31.8,4.92,6.46,18.6,10.0,16259725.0,16259725.0,517.06
HVA,4.0,0.23,17.04,10.15,4930.0,5650000.0,5650000.0,22.6
HVC,14.1,3.64,3.87,17.87,,6920750.0,6920750.0,97.58
HVH,8.96,1.23,7.3,13.95,154060.0,21949995.0,21949995.0,197.55
HVT,31.0,3.04,10.19,20.24,1281.0,10988059.0,10988280.0,340.64
HVX,3.1,0.1,30.42,10.57,530.0,38525250.0,41525250.0,129.56
HWS,11.5,0.95,12.07,10.81,1180.0,87600000.0,87452500.0,1005.7
I10,0.8,1.76,0.45,-3.43,,3500000.0,3500000.0,2.8
I40,3.3,inf,,14.46,,1539120.0,1539120.0,5.08
IBD,12.9,0.87,14.81,10.85,,9000000.0,9000000.0,116.1
ICC,36.0,6.26,5.75,41.84,,3800000.0,3800000.0,136.8
ICG,6.3,0.34,18.46,15.29,1448.0,20000000.0,17572000.0,110.7
ICI,3.2,0.15,21.71,12.54,1530.0,4000000.0,4000000.0,13.2
ICN,58.1,6.61,15.0,20.04,2902.0,8000000.0,8000000.0,496.0
ICT,23.9,inf,,21.34,128710.0,32185000.0,32185000.0,770.83
IDC,35.0,5.48,6.48,11.8,1414859.0,300000000.0,300000000.0,10650.0
IDI,6.4,0.43,15.23,12.42,3274011.0,227644608.0,227644608.0,1491.07
IDJ,16.5,1.91,8.7,12.38,292759.0,32600000.0,32600000.0,541.16
IDN,9.0,1.6,5.62,17.31,,1100000.0,1100000.0,9.9
IDV,57.0,12.35,4.6,24.82,18329.0,18351351.0,17004051.0,965.83
IFC,7.0,0.08,87.54,10.47,210.0,9000000.0,9000000.0,63.0
IFS,18.4,1.4,13.07,9.87,1486.0,87140984.0,87140984.0,1594.68
IHK,14.0,1.65,8.49,13.47,22.0,2141928.0,2141928.0,29.99
IJC,16.25,1.88,9.21,13.9,1247487.0,137097323.0,137097323.0,2378.64
IKH,7.9,0.66,12.01,10.68,,1571000.0,1571000.0,12.41
ILA,2.9,0.47,6.63,10.09,17268.0,16999993.0,16999993.0,52.7
ILB,27.4,2.7,10.02,16.17,137357.0,24502245.0,24502245.0,661.56
ILC,3.8,inf,,0.85,151.0,4074052.0,6079098.0,23.1
ILS,12.6,0.25,51.48,9.05,470.0,36000000.0,36000000.0,460.8
IMP,56.2,2.97,18.99,24.93,82626.0,66705370.0,66671570.0,3760.28
IN4,90.3,9.34,9.67,30.76,,1200000.0,1200000.0,108.36
INC,9.7,1.25,7.77,12.47,220.0,1800000.0,2000000.0,19.4
INN,32.1,4.1,7.81,27.91,15966.0,18000000.0,18000000.0,576.0
IPA,16.7,1.94,9.29,16.02,5600.0,89098248.0,89098248.0,1603.77
IPH,69.0,0.83,83.17,261.04,,1000000.0,38431.0,2.65
IRC,9.4,2.07,4.54,59.13,,17500000.0,2955300.0,27.78
ISH,16.8,1.42,11.9,11.88,4500.0,45000000.0,45000000.0,760.5
IST,21.7,3.39,6.5,14.5,30.0,12008672.0,12008672.0,264.19
ITA,5.49,0.09,60.06,11.45,19367620.0,938463607.0,938321575.0,5320.28
ITC,15.6,2.37,6.54,23.4,13454.0,79726294.0,79285934.0,1228.93
ITD,9.2,1.78,5.16,14.18,77591.0,16000246.0,18992610.0,174.73
ITQ,2.4,0.06,40.44,11.48,84466.0,23843305.0,22123705.0,57.52
ITS,3.7,0.22,17.0,7.02,11600.0,16200000.0,25200000.0,93.24
JSC,2.3,0.27,9.16,10.34,,1550000.0,1510100.0,3.78
JVC,4.69,0.05,91.51,4.71,785253.0,166537461.0,112500171.0,529.88
KAC,8.9,0.75,11.79,13.52,0.0,23999999.0,23999999.0,213.6
KBC,16.45,0.82,20.14,20.15,3271375.0,475711167.0,469760189.0,7751.04
KBE,18.9,2.89,6.54,16.53,,1231060.0,1231060.0,23.27
KBT,6.1,inf,,11.2,10.0,3001699.0,3001710.0,18.31
KCE,9.2,0.59,15.57,18.81,,1500000.0,1500000.0,13.8
KDC,38.4,0.74,51.81,27.65,899387.0,256653397.0,205661141.0,7887.1
KDF,46.6,3.01,15.53,15.25,161560.0,56000000.0,54160000.0,2534.69
KDH,27.7,2.08,13.57,14.37,2000003.0,578657219.0,550806579.0,15532.75
KGM,8.3,0.61,13.63,10.84,10.0,25430000.0,25430000.0,211.07
KGU,15.9,1.93,8.24,27.58,,1489573.0,1489573.0,23.68
KHA,23.6,2.82,8.36,19.55,2564.0,14120309.0,13958779.0,329.43
KHD,8.3,1.4,5.92,11.5,29.0,3262818.0,3262818.0,27.08
KHS,14.7,1.81,8.12,13.81,620.0,12090969.0,12090969.0,177.74
KHW,18.1,1.35,13.39,12.12,10.0,26000000.0,26046600.0,471.44
KIP,20.0,0.72,27.59,18.67,10.0,9800000.0,9800000.0,196.0
KLM,9.6,0.0,2426.66,10.41,,3885000.0,3885000.0,37.3
KMF,14.7,inf,,13.8,32270.0,10383054.0,10383054.0,152.63
KMT,8.1,0.9,8.98,12.63,500.0,9846562.0,9846562.0,79.76
KOS,30.4,0.17,183.69,11.04,273418.0,103750000.0,103750000.0,3200.69
KPF,17.65,1.52,11.17,12.3,15871.0,18017896.0,18017896.0,306.3
KSA,0.48,0.12,4.05,10.67,588604.0,93427360.0,93427360.0,44.85
KSB,29.9,6.6,4.55,26.27,2116096.0,64468478.0,66633078.0,2002.32
KSC,0.5,0.86,0.82,12.4,10.0,3739823.0,3739823.0,2.62
KSE,25.1,5.22,4.81,20.0,,1476000.0,1157500.0,29.05
KSQ,1.6,0.04,35.16,10.44,17531.0,30000000.0,30000000.0,45.0
KST,18.0,3.41,5.27,21.98,210.0,2996010.0,2996010.0,53.93
KSV,9.5,0.36,26.43,10.28,,200000000.0,202367040.0,1922.49
KTB,1.9,0.0,665.52,10.27,,40200000.0,40200000.0,76.38
KTC,11.0,1.43,6.99,11.46,30.0,36473833.0,36473833.0,364.74
KTL,25.0,1.75,14.3,20.15,710.0,6519500.0,19200000.0,480.0
KTS,14.5,0.93,15.54,31.49,2341.0,5070000.0,5070000.0,73.52
KTT,3.2,0.83,4.22,11.46,5730.0,2955000.0,2955000.0,10.34
KTU,7.9,5.53,1.43,17.72,,1210330.0,1210330.0,9.56
L10,18.6,1.79,10.41,24.87,905.0,9890000.0,9790000.0,182.09
L12,4.1,0.54,7.93,12.94,620.0,7000000.0,6738871.0,28.98
L14,51.9,1.93,27.01,13.84,50930.0,24345567.0,24395367.0,1268.56
L18,9.8,0.38,26.02,11.52,15.0,22988008.0,45976016.0,450.56
L43,2.4,0.07,39.32,13.76,1870.0,3500000.0,3500000.0,9.1
L45,2.0,0.02,105.36,8.48,,4800000.0,4800000.0,9.6
L62,9.9,0.08,118.72,13.43,,8298243.0,8298243.0,82.15
L63,9.8,0.02,462.12,12.96,130.0,8279361.0,8279361.0,81.14
LAF,9.5,1.08,9.36,9.69,3445.0,14728019.0,14728019.0,149.49
LAI,11.5,2.15,5.35,16.19,,8550000.0,8550000.0,98.33
LAW,13.6,1.27,10.74,14.14,,12200000.0,12200000.0,165.92
LBC,11.0,2.59,4.25,21.33,,1500000.0,1500000.0,16.5
LBE,34.0,1.24,27.43,18.04,310.0,1100000.0,1095900.0,37.26
LBM,33.45,6.66,4.97,36.83,7015.0,10000000.0,10000000.0,331.0
LCD,6.8,0.58,11.67,19.59,,1474000.0,1499945.0,10.2
LCG,12.45,1.82,6.99,15.05,4213759.0,97248172.0,115248172.0,1469.41
LCM,0.71,0.06,11.99,8.95,44589.0,24633000.0,24632809.0,17.74
LCW,10.0,0.02,597.35,10.03,,21586514.0,21566514.0,215.67
LDG,7.4,1.11,6.67,12.94,8006614.0,240212451.0,239822411.0,1777.08
LDW,13.3,2.52,5.27,85.96,,78800000.0,13816193.0,183.76
LG9,4.0,1.39,2.88,15.04,,5026600.0,5026600.0,20.11
LGC,67.1,1.25,56.07,2.64,664.0,192854765.0,192854765.0,13499.83
LHC,44.5,8.44,5.25,41.22,10214.0,7200000.0,7200000.0,318.96
LHG,34.45,3.4,10.05,24.34,387444.0,50012010.0,50069714.0,1712.38
LIC,5.5,0.37,14.68,3.6,120.0,90000000.0,90000000.0,495.0
LIG,5.5,0.82,6.8,7.22,705544.0,43598032.0,64034124.0,358.59
LIX,53.8,6.39,8.5,20.51,60599.0,32400000.0,32400000.0,1759.32
LKW,27.9,4.15,6.72,19.44,1043.0,2500000.0,2500000.0,69.75
LLM,20.0,0.69,29.44,13.81,29680.0,79726104.0,79726104.0,1610.47
LM8,11.25,0.76,14.98,29.97,2498.0,9388682.0,9388682.0,107.03
LMC,9.3,0.63,14.27,12.21,71150.0,1500000.0,1500000.0,13.5
LMI,9.6,1.59,6.05,16.54,,5500000.0,5500000.0,52.8
LNC,10.0,0.12,80.21,10.27,,8230067.0,8230067.0,82.3
LQN,9.0,0.07,125.37,7.6,,1893540.0,1893540.0,17.04
LSS,7.9,0.13,62.16,22.59,369339.0,70000000.0,66994950.0,525.91
LTG,25.5,3.03,8.74,32.72,825540.0,80593340.0,80593340.0,2135.72
LUT,4.2,0.01,443.43,12.26,84617.0,15000000.0,14960000.0,68.82
LWS,10.3,0.67,15.44,10.94,,17717665.0,17717665.0,182.49
M10,16.9,1.94,8.62,12.26,6123.0,30240000.0,30239756.0,505.0
MAC,6.0,0.14,45.14,11.84,3021.0,15139745.0,15139745.0,98.41
MBG,5.1,0.96,5.29,7.08,929449.0,68095200.0,68095200.0,347.29
MBN,8.9,1.0,8.93,24.82,,5750000.0,5750000.0,51.18
MBS,13.9,1.37,10.04,11.94,418612.0,164331084.0,164322193.0,2267.65
MC3,8.0,0.02,336.45,10.79,110.0,3500000.0,3500000.0,28.0
